,parkCode,name,totalSites,latitude,longitude,numberOfSitesFirstComeFirstServe,numberOfSitesReservable,description,operatingHours,reservationInfo,id,reservationUrl
10,dewa,Rivers Bend Group Campground,0,41.0961181,-74.9666325,0,5,"Open April to November
Reservations are required and must be made a minimum of two weeks in advance.
Primitive group campsites in an open area with some trees next to the river; drinking water available; minimum of five people required to reserve site.","[{'exceptions': [], 'description': 'Open April through November.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Rivers Bend Group Campground'}]","Email dewa_campground@nps.gov to make reservations; there is a minimum group size of five individuals. Reservations are required for this campground and must be made a minimum of two weeks in advance. 

Reservations for each year can be made starting the first business day after New Year's Day.

Payment is by check or money order.",0B61F802-F8D6-46D0-9A2C-708177036C95,
11,glba,Bartlett Cove Campground,33,,,33,0,"The National Park Service maintains a free walk-in campground in Bartlett Cove. The campground features bear-proof food caches, a fire-pit and warming shelter (with firewood provided) located in a very scenic setting along the shore, 1/4 mile south of the Bartlett Cove dock. Stays are limited to 14 days","[{'exceptions': [], 'description': 'The National Park Service maintains a free walk-in campground in Bartlett Cove, open year-round. The campground features a bear-proof food cache, fire-pit with firewood, and warming shelter located in a very scenic setting along the shoreline, 1/4 mile south of the Bartlett Cove dock. Stays are limited to 14 days.\nPlease Note: Campsites are available on a first come, first serve basis only. Feel free to contact the Visitor Information Station at (907) 697-2627 about space availability prior to arrival.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bartlett Cove Campground'}]","No reservations. Campground is first-come, first-served. 
Campers are required to attend a camper orientation to register for a site.",8F8394D7-51F5-4593-9042-83BC845F0F71,
12,grte,Gros Ventre Campground,300,43.6163233,-110.6668715,295,5,"The park's largest campground is in the southeast part of the park, closest to the town of Jackson. Sagebrush and grasses cover the campground as cottonwoods and blue spruce rise above. The Gros Ventre River is a short stroll away. Some sites offer views of the Grand Teton and Blacktail Butte. Wildlife including bison, moose and mule deer frequent the area. Maximum stay is 14 nights.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-10-09', 'name': 'Winter Closure', 'endDate': '2020-05-28'}], 'description': 'Summer Season - the campground fills during the peak season.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Gros Ventre Campground'}]","Reservations are only accepted for the five large group campsites. All other campsites are first-come, first-served.",F79BD2D4-B5CE-4405-99F4-AF59DD1913A6,http://www.gtlc.com/contact-us
13,grte,Jenny Lake Campground,59,43.7541036,-110.7204875,59,0,"This small campground is a few hundred yards from the east shore of Jenny Lake. The campground straddles a glacial moraine covered with an open forest of lodgepole pine, subalpine fir and Douglas fir. Across the lake, Teewinot Mountain, Cascade Canyon and Mount St. John dominate the landscape. No trailers, campers, or generators are allowed. Vehicles cannot be over 8 feet high or 14 feet long. Maximum per site is two tents, one vehicle, and six guests for up to 7 nights.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-09-27', 'name': 'Winter Closure', 'endDate': '2020-06-14'}], 'description': 'Summer Season - campground usually fills before 9 am during the peak season', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Jenny Lake Campground'}]","The Jenny Lake Campground does not accept advance reservations. All sites are first-come, first-served.",5A3B6615-6E41-47CD-A13A-A717684296E5,
14,grte,Signal Mountain Campground,81,43.8407684,-110.6152045,81,0,"This campground is in an open lodgepole pine forest near the Signal Mountain Lodge. Some sites lie just above Jackson Lake, and other sites are a short walk from the lake. Enjoy spectacular views of Mount Moran and the northern Teton Range. The campground accepts both tents and smaller RVs (up to 30 feet total length). The developed area offers a wide variety of services and amenities including lodging, restaurants, showers, laundry, and marina. Maximum stay is 14 nights.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-10-18', 'name': 'Winter Closure', 'endDate': '2020-06-04'}], 'description': 'Summer Season - the campground often fills before noon during peak season.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Signal Mountain Campground'}]","The Signal Mountain Campground does not accept advance reservations. All sites are first-come, first-served.",67AC9C0C-E0E8-406F-88D2-EF0BD3FC471D,
15,havo,Kulanaokuaiki,9,19.34315,-155.27361,8,0,"Kulanaokuaiki is located off Hilina Pali Road at 3,200 feet (975 m), there are nine walk-in campsites with picnic tables. There is an accessible vault toilet; however, no water is available and campfires are not permitted. Use fueled camping stoves only. This campground is subject to closure when the area is dry and during times of high fire risk. No dogs or pets are allowed at this campground to protect endangered nene.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-03-22', 'name': 'Phased Reopening – Some Areas Remain Closed Due to COVID-19', 'endDate': '2020-06-30'}], 'description': 'This campground is open 24 hours a day. It is subject to closure in the event of volcanic activity.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Kulanaokuaiki'}]",No reservations are taken. First come first served. Fees may be paid at the campground's self-registration station.,A859E76B-FA23-43CE-8BED-904FB4D41B60,
16,katm,Brooks Camp Campground,60,,,0,60,"Brooks Camp Campground is the only developed campground in Katmai National Park and Preserve. It is located on the shore of Naknek Lake, about .3 miles (.5 km) from the Brooks Camp Visitor Center. Facilities in the campground include a food cache, gear cache, fuel storage locker, potable water, cooking shelters, fire rings, and vault toilets. The campground is also surrounded by an electric fence. Special regulations apply at Brooks Camp and in the campground.","[{'exceptions': [], 'description': 'This campground is open all year. The electric fence surrounding the campground is only maintained from June 1 to September 18. Potable water only available from June 1 to September 18. Fees are charged per person from May 1 to October 31.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Brooks Camp Campground'}]",Reservations for the current calendar year can be made beginning January 5 at 8 a.m. AKST (12:00 p.m. EST). Visit www.recreation.gov or call 1-877-444-6777 to make reservations. Reservations must be made in advance.,CE630927-F34B-4A58-BD8E-D4ED74E8EDCA,http://www.recreation.gov/wildernessAreaDetails.do?contractCode=NRSO&parkId=74210
17,kefj,Exit Glacier Campground,12,,,12,0,"Exit Glacier has a 12-site, walk-in, tent-campground. Sites are available on a first-come, first-served basis. There are no reservations or camping fees. There is a fourteen-day stay limit. The campground frequently fills by early evening in July and August.

A central food storage, cooking and dining shelter is provided. Cooking and/or storing food in campsites is prohibited. There is a pump for drinking water and pit toilets are available. Pets are not permitted in campsites.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-05-22', 'name': 'Campground Closed due to Covid-`9', 'endDate': '2020-07-21'}], 'description': 'There is one established campground located in the Exit Glacier area. It has 12 sites for tents, and is walk-in only. It is open year-round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Exit Glacier Campground'}]","No reservations are required.  Sites are available on a first come, first served basis.",5F2A45B9-4C98-4710-B06B-30D23ACF5E79,
18,klgo,Dyea Campground,22,59.5072499,-135.3504976,22,0,"The Dyea Campground is located 9 miles from Skagway.  Nestled in the trees along the banks of the Taiya River with limited amenities, the Dyea Campground is a restful place from busy town.  The campground is within a short drive or bike ride of the historic townsite of Dyea and a half mile from the Chilkoot Trailhead.

The campground is monitored by National Park Service rangers and is open when free of snow.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2018-01-01', 'name': 'Winter/Spring', 'endDate': '2018-05-28'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2018-09-03', 'name': 'Fall/Winter', 'endDate': '2018-12-31'}], 'description': 'Campground is open 24 hours a day during summer months.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Dyea Campground'}]","Reservations are not taken for this campground.  Sites fill on a first-come, first-served basis.",DFE57C24-C7F4-4F2D-87B7-54A81D20D2E4,
19,noca,Newhalem Creek Campground,107,48.671,-121.261,0,107,"Newhalem Creek Campground is conveniently located between the town of Newhalem and the North Cascades Visitor Center on the banks of the Skagit River, near many natural and historic destinations. Elevation 500'.

Recreational Opportunities: Several short walks and interpretive trails. Fishing on the Skagit River. Two group camps.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2015-09-22', 'name': 'Newhalem Creek Campground', 'endDate': '2015-05-27'}], 'description': 'Open for reservations in the summer season. Loops A, B and C - reservable 3-180 days in advance at Recreation.gov or by phone at 1-877-444-6777.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Newhalem Creek Campground'}]","Newhalem Creek Campground - Loop A, B and C and the two group sites - can be reserved through recreation.gov or by calling 877-444-7583.",C772BBDA-274E-40A2-B213-3C7B8127E6A7,https://www.recreation.gov/camping/campgrounds/234060/campsites
20,noca,Goodell Creek Campground,19,48.673,-121.267,19,0,"Situated in lush, old growth forest on the banks of the Skagit River. Elevation 500'.
First-come, first-serve and appropriate for tents and small RVs.
Drinking water, garbage service, and vault toilets provided. No hook-ups or showers. Covered picnic shelter. Gathering firewood is prohibited, but firewood can be purchased outside of the park.
Recreational Opportunities: Raft/kayak launch on the Skagit River. Fishing on the Skagit and tributaries.","[{'exceptions': [], 'description': 'Goodell Creek Campground is open year-round with vault toilets.\nPotable water and garbage service are available from Memorial Day weekend through mid-September but not during the rest of the year. Fees are charged during times when services are offered.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Goodell Creek Campground'}]","First-come, first-serve only. No reservations.",9D6E5F9A-BB88-4170-A3B4-87F303AA0836,
21,noca,Upper and Lower Goodell Creek Group Campgrounds,3,48.683,-121.271,3,3,"Three group sites (one at Upper Goodell and two that are adjacent at Lower Goodell). All sites have tent pads, a pavilion with picnic tables and a fire grate. Maximum capacity is 50 people per site. Reservations can be made 3-360 days in advance at www.recreation.gov or call 1-877-444-6777. 
Lower Goodell sites can accommodate RV's.
Facilities and Services: Vault toilets. No hook-ups or potable water. Garbage service provided. Gathering firewood is prohibited. Firewood is available outside the park.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2015-09-20', 'name': 'Goodell Group Campgrounds Winter Hours', 'endDate': '2015-05-27'}], 'description': 'Open for reservations in the summer season. Reservable 3-180 days in advance at Recreation.gov or by phone at 1-877-444-6777.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Upper and Lower Goodell Creek Group Campgrounds'}]","$25/night for first come, first served or $34/night for reservations. Reservations can be made 3-360 days in advance at www.recreation.gov or by phone at 1-877-444-6777.",9FF275B6-E645-4860-A614-19463177E32B,http://www.recreation.gov/
